Share Symbol,Share Price,Allocated Units,Weights,Holding Units,Entry Units,Exit Units
AXREIT,1.8,0.0,-0.0,0.0,0.0,0.0
MAXIS,4.09,0.0,0.0,0.0,0.0,0.0
ABMB,3.45,0.0,0.0,0.0,0.0,0.0
LYSAGHT,2.18,2000.0,0.44502542281201596,2000.0,0.0,0.0
HARBOUR,1.19,0.0,0.0,0.0,0.0,0.0
DIALOG,2.14,300.0,0.06653203995528352,300.0,0.0,0.0
SHL,1.98,2400.0,0.4884425372327005,2400.0,0.0,0.0
YOCB,1.79,0.0,0.0,0.0,0.0,0.0
VSTECS,1.34,0.0,0.0,0.0,0.0,0.0
GASMSIA,3.36,0.0,0.0,0.0,0.0,0.0
AHEALTH,2.42,0.0,-0.0,0.0,0.0,0.0
SWKPLNT,2.1,0.0,0.0,0.0,0.0,0.0
IJM,1.8900000000000001,0.0,-0.0,0.0,0.0,0.0
