Date,Initial Capital,Cash Balance,Portfolio Value,Purchase Cost,Sales Proceeds,Total Value
2023-12-07,25000.0,25000.0,424.0,0.0,0.0,25424.0
2023-12-08,25000.0,25000.0,37730.0,0.0,0.0,62730.0
2023-12-11,25000.0,22743.0,39997.0,9117.0,6860.0,62740.0
2023-12-12,22743.0,28369.0,40857.0,4472.0,10098.0,69226.0
2023-12-13,28369.0,37105.0,33815.0,3545.0,12281.0,70920.0
2023-12-14,37105.0,37105.0,431.0,0.0,0.0,37536.0
2023-12-15,37105.0,16207.0,79829.0,24648.0,3750.0,96036.0
2023-12-18,16207.0,-6635.999999999996,78380.0,22843.0,0.0,71744.0
2023-12-19,-6635.999999999996,3446.000000000004,90855.0,6615.000000000001,16697.0,94301.0
2023-12-20,3446.000000000004,-37048.99999999999,74689.0,40495.0,0.0,37640.00000000001
